Data Escala de Tempo 1 ENAS Comp 3,Subsistema,Data do Incio da Semana Din Instante ENAS Comp 3,Data Escala de Tempo 1 ENAS Comp 3,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Comp 3
5/1/2016 12:00:00 AM,Sul,,5/1/2016 12:00:00 AM,Dia,Sul,,9312
5/2/2016 12:00:00 AM,Sul,,5/2/2016 12:00:00 AM,Dia,Sul,,8387
5/3/2016 12:00:00 AM,Sul,,5/3/2016 12:00:00 AM,Dia,Sul,,7797
5/4/2016 12:00:00 AM,Sul,,5/4/2016 12:00:00 AM,Dia,Sul,,7297
5/5/2016 12:00:00 AM,Sul,,5/5/2016 12:00:00 AM,Dia,Sul,,7098
5/6/2016 12:00:00 AM,Sul,,5/6/2016 12:00:00 AM,Dia,Sul,,7182
5/7/2016 12:00:00 AM,Sul,,5/7/2016 12:00:00 AM,Dia,Sul,,7509
5/8/2016 12:00:00 AM,Sul,,5/8/2016 12:00:00 AM,Dia,Sul,,7655
5/9/2016 12:00:00 AM,Sul,,5/9/2016 12:00:00 AM,Dia,Sul,,7958
5/10/2016 12:00:00 AM,Sul,,5/10/2016 12:00:00 AM,Dia,Sul,,8243
5/11/2016 12:00:00 AM,Sul,,5/11/2016 12:00:00 AM,Dia,Sul,,8238
5/12/2016 12:00:00 AM,Sul,,5/12/2016 12:00:00 AM,Dia,Sul,,7809
5/13/2016 12:00:00 AM,Sul,,5/13/2016 12:00:00 AM,Dia,Sul,,7388
5/14/2016 12:00:00 AM,Sul,,5/14/2016 12:00:00 AM,Dia,Sul,,7053
5/15/2016 12:00:00 AM,Sul,,5/15/2016 12:00:00 AM,Dia,Sul,,7298
5/16/2016 12:00:00 AM,Sul,,5/16/2016 12:00:00 AM,Dia,Sul,,8859
5/17/2016 12:00:00 AM,Sul,,5/17/2016 12:00:00 AM,Dia,Sul,,9523
5/18/2016 12:00:00 AM,Sul,,5/18/2016 12:00:00 AM,Dia,Sul,,9057
5/19/2016 12:00:00 AM,Sul,,5/19/2016 12:00:00 AM,Dia,Sul,,8359
5/20/2016 12:00:00 AM,Sul,,5/20/2016 12:00:00 AM,Dia,Sul,,10406
5/21/2016 12:00:00 AM,Sul,,5/21/2016 12:00:00 AM,Dia,Sul,,18251
5/22/2016 12:00:00 AM,Sul,,5/22/2016 12:00:00 AM,Dia,Sul,,20815
5/23/2016 12:00:00 AM,Sul,,5/23/2016 12:00:00 AM,Dia,Sul,,19945
5/24/2016 12:00:00 AM,Sul,,5/24/2016 12:00:00 AM,Dia,Sul,,17416
5/25/2016 12:00:00 AM,Sul,,5/25/2016 12:00:00 AM,Dia,Sul,,15193
5/26/2016 12:00:00 AM,Sul,,5/26/2016 12:00:00 AM,Dia,Sul,,13946
5/27/2016 12:00:00 AM,Sul,,5/27/2016 12:00:00 AM,Dia,Sul,,13671
5/28/2016 12:00:00 AM,Sul,,5/28/2016 12:00:00 AM,Dia,Sul,,13648
5/29/2016 12:00:00 AM,Sul,,5/29/2016 12:00:00 AM,Dia,Sul,,13769
5/30/2016 12:00:00 AM,Sul,,5/30/2016 12:00:00 AM,Dia,Sul,,14433
5/31/2016 12:00:00 AM,Sul,,5/31/2016 12:00:00 AM,Dia,Sul,,14981
6/1/2016 12:00:00 AM,Sul,,6/1/2016 12:00:00 AM,Dia,Sul,,14792
6/2/2016 12:00:00 AM,Sul,,6/2/2016 12:00:00 AM,Dia,Sul,,14439
6/3/2016 12:00:00 AM,Sul,,6/3/2016 12:00:00 AM,Dia,Sul,,13732
6/4/2016 12:00:00 AM,Sul,,6/4/2016 12:00:00 AM,Dia,Sul,,12795
6/5/2016 12:00:00 AM,Sul,,6/5/2016 12:00:00 AM,Dia,Sul,,12200
6/6/2016 12:00:00 AM,Sul,,6/6/2016 12:00:00 AM,Dia,Sul,,11789
6/7/2016 12:00:00 AM,Sul,,6/7/2016 12:00:00 AM,Dia,Sul,,11094
6/8/2016 12:00:00 AM,Sul,,6/8/2016 12:00:00 AM,Dia,Sul,,10361
6/9/2016 12:00:00 AM,Sul,,6/9/2016 12:00:00 AM,Dia,Sul,,9682
6/10/2016 12:00:00 AM,Sul,,6/10/2016 12:00:00 AM,Dia,Sul,,8976
6/11/2016 12:00:00 AM,Sul,,6/11/2016 12:00:00 AM,Dia,Sul,,8301
6/12/2016 12:00:00 AM,Sul,,6/12/2016 12:00:00 AM,Dia,Sul,,7698
6/13/2016 12:00:00 AM,Sul,,6/13/2016 12:00:00 AM,Dia,Sul,,7372
6/14/2016 12:00:00 AM,Sul,,6/14/2016 12:00:00 AM,Dia,Sul,,6978
6/15/2016 12:00:00 AM,Sul,,6/15/2016 12:00:00 AM,Dia,Sul,,6815
6/16/2016 12:00:00 AM,Sul,,6/16/2016 12:00:00 AM,Dia,Sul,,6777
6/17/2016 12:00:00 AM,Sul,,6/17/2016 12:00:00 AM,Dia,Sul,,7482
6/18/2016 12:00:00 AM,Sul,,6/18/2016 12:00:00 AM,Dia,Sul,,8026
6/19/2016 12:00:00 AM,Sul,,6/19/2016 12:00:00 AM,Dia,Sul,,8078
6/20/2016 12:00:00 AM,Sul,,6/20/2016 12:00:00 AM,Dia,Sul,,8021
6/21/2016 12:00:00 AM,Sul,,6/21/2016 12:00:00 AM,Dia,Sul,,9333
6/22/2016 12:00:00 AM,Sul,,6/22/2016 12:00:00 AM,Dia,Sul,,11228
6/23/2016 12:00:00 AM,Sul,,6/23/2016 12:00:00 AM,Dia,Sul,,11923
6/24/2016 12:00:00 AM,Sul,,6/24/2016 12:00:00 AM,Dia,Sul,,11296
6/25/2016 12:00:00 AM,Sul,,6/25/2016 12:00:00 AM,Dia,Sul,,10539
6/26/2016 12:00:00 AM,Sul,,6/26/2016 12:00:00 AM,Dia,Sul,,9866
6/27/2016 12:00:00 AM,Sul,,6/27/2016 12:00:00 AM,Dia,Sul,,9499
6/28/2016 12:00:00 AM,Sul,,6/28/2016 12:00:00 AM,Dia,Sul,,9272
6/29/2016 12:00:00 AM,Sul,,6/29/2016 12:00:00 AM,Dia,Sul,,8881
6/30/2016 12:00:00 AM,Sul,,6/30/2016 12:00:00 AM,Dia,Sul,,8479
7/1/2016 12:00:00 AM,Sul,,7/1/2016 12:00:00 AM,Dia,Sul,,8074
7/2/2016 12:00:00 AM,Sul,,7/2/2016 12:00:00 AM,Dia,Sul,,7718
7/3/2016 12:00:00 AM,Sul,,7/3/2016 12:00:00 AM,Dia,Sul,,7383
7/4/2016 12:00:00 AM,Sul,,7/4/2016 12:00:00 AM,Dia,Sul,,7094
7/5/2016 12:00:00 AM,Sul,,7/5/2016 12:00:00 AM,Dia,Sul,,7012
7/6/2016 12:00:00 AM,Sul,,7/6/2016 12:00:00 AM,Dia,Sul,,7209
7/7/2016 12:00:00 AM,Sul,,7/7/2016 12:00:00 AM,Dia,Sul,,7212
7/8/2016 12:00:00 AM,Sul,,7/8/2016 12:00:00 AM,Dia,Sul,,6689
7/9/2016 12:00:00 AM,Sul,,7/9/2016 12:00:00 AM,Dia,Sul,,6121
7/10/2016 12:00:00 AM,Sul,,7/10/2016 12:00:00 AM,Dia,Sul,,5824
7/11/2016 12:00:00 AM,Sul,,7/11/2016 12:00:00 AM,Dia,Sul,,5890
7/12/2016 12:00:00 AM,Sul,,7/12/2016 12:00:00 AM,Dia,Sul,,7362
7/13/2016 12:00:00 AM,Sul,,7/13/2016 12:00:00 AM,Dia,Sul,,8524
7/14/2016 12:00:00 AM,Sul,,7/14/2016 12:00:00 AM,Dia,Sul,,16937
7/15/2016 12:00:00 AM,Sul,,7/15/2016 12:00:00 AM,Dia,Sul,,31107
7/16/2016 12:00:00 AM,Sul,,7/16/2016 12:00:00 AM,Dia,Sul,,30352
7/17/2016 12:00:00 AM,Sul,,7/17/2016 12:00:00 AM,Dia,Sul,,25251
7/18/2016 12:00:00 AM,Sul,,7/18/2016 12:00:00 AM,Dia,Sul,,18933
7/19/2016 12:00:00 AM,Sul,,7/19/2016 12:00:00 AM,Dia,Sul,,14928
7/20/2016 12:00:00 AM,Sul,,7/20/2016 12:00:00 AM,Dia,Sul,,12731
7/21/2016 12:00:00 AM,Sul,,7/21/2016 12:00:00 AM,Dia,Sul,,11223
7/22/2016 12:00:00 AM,Sul,,7/22/2016 12:00:00 AM,Dia,Sul,,10258
7/23/2016 12:00:00 AM,Sul,,7/23/2016 12:00:00 AM,Dia,Sul,,9368
7/24/2016 12:00:00 AM,Sul,,7/24/2016 12:00:00 AM,Dia,Sul,,8583
7/25/2016 12:00:00 AM,Sul,,7/25/2016 12:00:00 AM,Dia,Sul,,8130
7/26/2016 12:00:00 AM,Sul,,7/26/2016 12:00:00 AM,Dia,Sul,,7609
7/27/2016 12:00:00 AM,Sul,,7/27/2016 12:00:00 AM,Dia,Sul,,7265
7/28/2016 12:00:00 AM,Sul,,7/28/2016 12:00:00 AM,Dia,Sul,,6978
7/29/2016 12:00:00 AM,Sul,,7/29/2016 12:00:00 AM,Dia,Sul,,6433
7/30/2016 12:00:00 AM,Sul,,7/30/2016 12:00:00 AM,Dia,Sul,,5953
7/31/2016 12:00:00 AM,Sul,,7/31/2016 12:00:00 AM,Dia,Sul,,5576
8/1/2016 12:00:00 AM,Sul,,8/1/2016 12:00:00 AM,Dia,Sul,,5316
8/2/2016 12:00:00 AM,Sul,,8/2/2016 12:00:00 AM,Dia,Sul,,5264
8/3/2016 12:00:00 AM,Sul,,8/3/2016 12:00:00 AM,Dia,Sul,,5379
8/4/2016 12:00:00 AM,Sul,,8/4/2016 12:00:00 AM,Dia,Sul,,5595
8/5/2016 12:00:00 AM,Sul,,8/5/2016 12:00:00 AM,Dia,Sul,,5473
8/6/2016 12:00:00 AM,Sul,,8/6/2016 12:00:00 AM,Dia,Sul,,5299
8/7/2016 12:00:00 AM,Sul,,8/7/2016 12:00:00 AM,Dia,Sul,,5649
8/8/2016 12:00:00 AM,Sul,,8/8/2016 12:00:00 AM,Dia,Sul,,6279
8/9/2016 12:00:00 AM,Sul,,8/9/2016 12:00:00 AM,Dia,Sul,,6731
8/10/2016 12:00:00 AM,Sul,,8/10/2016 12:00:00 AM,Dia,Sul,,6462
8/11/2016 12:00:00 AM,Sul,,8/11/2016 12:00:00 AM,Dia,Sul,,6022
8/12/2016 12:00:00 AM,Sul,,8/12/2016 12:00:00 AM,Dia,Sul,,5633
8/13/2016 12:00:00 AM,Sul,,8/13/2016 12:00:00 AM,Dia,Sul,,5257
8/14/2016 12:00:00 AM,Sul,,8/14/2016 12:00:00 AM,Dia,Sul,,5281
8/15/2016 12:00:00 AM,Sul,,8/15/2016 12:00:00 AM,Dia,Sul,,5843
8/16/2016 12:00:00 AM,Sul,,8/16/2016 12:00:00 AM,Dia,Sul,,7119
8/17/2016 12:00:00 AM,Sul,,8/17/2016 12:00:00 AM,Dia,Sul,,8104
8/18/2016 12:00:00 AM,Sul,,8/18/2016 12:00:00 AM,Dia,Sul,,9513
8/19/2016 12:00:00 AM,Sul,,8/19/2016 12:00:00 AM,Dia,Sul,,11910
8/20/2016 12:00:00 AM,Sul,,8/20/2016 12:00:00 AM,Dia,Sul,,21995
8/21/2016 12:00:00 AM,Sul,,8/21/2016 12:00:00 AM,Dia,Sul,,31701
8/22/2016 12:00:00 AM,Sul,,8/22/2016 12:00:00 AM,Dia,Sul,,31026
8/23/2016 12:00:00 AM,Sul,,8/23/2016 12:00:00 AM,Dia,Sul,,25900
8/24/2016 12:00:00 AM,Sul,,8/24/2016 12:00:00 AM,Dia,Sul,,21407
8/25/2016 12:00:00 AM,Sul,,8/25/2016 12:00:00 AM,Dia,Sul,,18256
8/26/2016 12:00:00 AM,Sul,,8/26/2016 12:00:00 AM,Dia,Sul,,16121
8/27/2016 12:00:00 AM,Sul,,8/27/2016 12:00:00 AM,Dia,Sul,,14628
8/28/2016 12:00:00 AM,Sul,,8/28/2016 12:00:00 AM,Dia,Sul,,13475
8/29/2016 12:00:00 AM,Sul,,8/29/2016 12:00:00 AM,Dia,Sul,,13054
8/30/2016 12:00:00 AM,Sul,,8/30/2016 12:00:00 AM,Dia,Sul,,13208
8/31/2016 12:00:00 AM,Sul,,8/31/2016 12:00:00 AM,Dia,Sul,,13306
9/1/2016 12:00:00 AM,Sul,,9/1/2016 12:00:00 AM,Dia,Sul,,13004
9/2/2016 12:00:00 AM,Sul,,9/2/2016 12:00:00 AM,Dia,Sul,,12070
9/3/2016 12:00:00 AM,Sul,,9/3/2016 12:00:00 AM,Dia,Sul,,11474
9/4/2016 12:00:00 AM,Sul,,9/4/2016 12:00:00 AM,Dia,Sul,,12462
9/5/2016 12:00:00 AM,Sul,,9/5/2016 12:00:00 AM,Dia,Sul,,13943
9/6/2016 12:00:00 AM,Sul,,9/6/2016 12:00:00 AM,Dia,Sul,,17113
